"Date","Payee","Account number","Transaction type","Payment reference","Category","Amount (EUR)","Amount (Foreign Currency)","Type Foreign Currency","Exchange Rate"
"2021-01-01","CLOUDAFRICA HOSTING","","MasterCard Payment","","Shopping","-11.29","-202.06","ZAR","0.0559"
"2021-01-02","REWE Markt Marcin","","MasterCard Payment","","Food & Groceries","-57.46","-57.46","EUR","1.0"
